Date,Open,High,Low,Close,Adj Close,Volume
2017-03-03,30780.000000,31140.000000,30560.000000,30900.000000,26667.580078,3028550
2017-03-06,30600.000000,31200.000000,30420.000000,31200.000000,26926.484375,1708850
2017-03-07,31180.000000,31320.000000,30960.000000,31140.000000,26874.705078,1852200
2017-03-08,31000.000000,31480.000000,31000.000000,31060.000000,26805.664063,1618300
2017-03-09,31100.000000,31160.000000,30800.000000,30800.000000,26581.279297,2116250
2017-03-10,30520.000000,31000.000000,30520.000000,31000.000000,26753.884766,1736450
2017-03-13,31120.000000,31640.000000,30940.000000,31560.000000,27237.181641,1861600
2017-03-14,31600.000000,32280.000000,31500.000000,32260.000000,27841.296875,2969400
2017-03-15,31940.000000,32300.000000,31800.000000,32300.000000,27875.818359,1201900
2017-03-16,32680.000000,33000.000000,32500.000000,32600.000000,28134.728516,1660400
2017-03-17,32460.000000,33000.000000,32380.000000,32980.000000,28462.679688,2007700
2017-03-20,32340.000000,32800.000000,32340.000000,32340.000000,27910.343750,1413100
2017-03-21,32620.000000,33000.000000,32420.000000,32800.000000,28307.333984,1464000
2017-03-22,32160.000000,32960.000000,32160.000000,32940.000000,28428.158203,1581550
2017-03-23,32960.000000,32980.000000,32240.000000,32360.000000,27927.601563,1753400
2017-03-24,32340.000000,32500.000000,31740.000000,31840.000000,27478.826172,1688250
2017-03-27,31400.000000,32040.000000,31400.000000,31600.000000,27271.699219,1451450
2017-03-28,31980.000000,32140.000000,31680.000000,31800.000000,27444.306641,2072750
2017-03-29,32000.000000,32400.000000,32000.000000,32360.000000,27927.601563,1906400
2017-03-30,32460.000000,32740.000000,32280.000000,32480.000000,28152.962891,1517300
2017-03-31,32660.000000,32660.000000,32040.000000,32060.000000,27788.916016,1446000
2017-04-03,32100.000000,32300.000000,31960.000000,32200.000000,27910.267578,1232600
2017-04-04,32240.000000,32560.000000,32240.000000,32560.000000,28222.308594,2471750
2017-04-05,32480.000000,32800.000000,32400.000000,32800.000000,28430.333984,1501600
2017-04-06,32380.000000,32460.000000,32060.000000,32300.000000,27996.945313,1935250
2017-04-07,32280.000000,32300.000000,31840.000000,32140.000000,27858.257813,1396350
2017-04-10,32200.000000,32400.000000,32000.000000,32240.000000,27944.933594,979400
2017-04-11,32240.000000,32300.000000,31900.000000,31900.000000,27650.232422,1018650
2017-04-12,31960.000000,32180.000000,31780.000000,31980.000000,27719.574219,1453550
2017-04-13,31940.000000,32360.000000,31920.000000,32320.000000,28014.277344,693550
2017-04-14,32260.000000,32300.000000,31940.000000,32000.000000,27736.912109,374250
2017-04-17,32000.000000,32020.000000,31620.000000,31720.000000,27494.210938,804200
2017-04-18,31760.000000,31920.000000,31360.000000,31640.000000,27424.869141,809500
2017-04-19,31600.000000,31800.000000,31360.000000,31420.000000,27234.177734,910350
2017-04-20,31340.000000,31340.000000,30840.000000,31180.000000,27026.152344,1156100
2017-04-21,31500.000000,32020.000000,31220.000000,31720.000000,27494.210938,1129550
2017-04-24,32200.000000,32200.000000,31640.000000,31720.000000,27494.210938,1096450
2017-04-25,31740.000000,32700.000000,31740.000000,32680.000000,28326.318359,1777100
2017-04-26,32680.000000,32920.000000,32640.000000,32820.000000,28447.666016,1701900
2017-04-27,32940.000000,34540.000000,32080.000000,34380.000000,29799.841797,5281500
2017-04-28,36080.000000,36440.000000,34920.000000,35060.000000,30389.253906,4628500
2017-05-02,36040.000000,36160.000000,35500.000000,36100.000000,31290.699219,3416500
2017-05-04,36020.000000,36200.000000,35640.000000,35800.000000,31030.667969,3619600
2017-05-08,35400.000000,36060.000000,35360.000000,36060.000000,31256.029297,6145950
2017-05-10,35020.000000,35560.000000,34660.000000,34840.000000,30198.558594,7595900
2017-05-11,34640.000000,34900.000000,34080.000000,34540.000000,29938.525391,4641750
2017-05-12,34500.000000,34960.000000,34480.000000,34880.000000,30233.230469,3046700
2017-05-15,34800.000000,35140.000000,34600.000000,35140.000000,30458.593750,2050050
2017-05-16,35840.000000,35840.000000,35300.000000,35500.000000,30770.632813,2817100
2017-05-17,35760.000000,35860.000000,35500.000000,35820.000000,31048.000000,2414500
2017-05-18,35200.000000,35600.000000,35140.000000,35600.000000,30857.310547,1675400
2017-05-19,35460.000000,35600.000000,34680.000000,34860.000000,30215.894531,1831000
2017-05-22,34860.000000,35320.000000,34700.000000,35140.000000,30458.593750,1596650
2017-05-23,35600.000000,35840.000000,35100.000000,35500.000000,30770.632813,2508700
2017-05-24,35320.000000,35540.000000,35220.000000,35460.000000,30735.960938,1314550
2017-05-25,35680.000000,35780.000000,35240.000000,35720.000000,30961.324219,1918650
2017-05-26,35880.000000,36120.000000,35720.000000,36120.000000,31308.033203,1979200
2017-05-29,36120.000000,36380.000000,35820.000000,35820.000000,31048.000000,1130600
2017-05-30,35820.000000,35820.000000,34960.000000,35020.000000,30354.580078,1633700
2017-05-31,35160.000000,35360.000000,34980.000000,34980.000000,30319.906250,2813750
2017-06-01,35000.000000,35300.000000,34900.000000,34980.000000,30319.906250,1197600
2017-06-02,35080.000000,35800.000000,35080.000000,35800.000000,31030.667969,1590050
2017-06-05,36080.000000,36080.000000,35760.000000,36060.000000,31256.029297,1323050
2017-06-07,36420.000000,36420.000000,35820.000000,36000.000000,31204.017578,2830000
2017-06-08,36000.000000,36380.000000,35780.000000,36380.000000,31533.404297,2311050
2017-06-09,36380.000000,37200.000000,36240.000000,37160.000000,32209.480469,2222550
2017-06-12,36760.000000,36800.000000,36340.000000,36700.000000,31810.763672,1053900
2017-06-13,36700.000000,36800.000000,36500.000000,36680.000000,31793.435547,1407650
2017-06-14,36800.000000,37020.000000,36560.000000,36780.000000,31880.105469,1572250
2017-06-15,36840.000000,37180.000000,36580.000000,36840.000000,31932.109375,2437500
2017-06-16,36600.000000,37100.000000,36600.000000,37060.000000,32122.804688,1800550
2017-06-19,37180.000000,37560.000000,36960.000000,37460.000000,32469.519531,1405500
2017-06-20,38000.000000,38440.000000,37800.000000,38420.000000,33301.621094,2067700
2017-06-21,38360.000000,38480.000000,37740.000000,38020.000000,32954.914063,1563550
2017-06-22,38240.000000,38400.000000,37820.000000,38000.000000,32937.574219,1623600
2017-06-23,37940.000000,38080.000000,37580.000000,37980.000000,32920.242188,1480150
2017-06-26,38000.000000,38340.000000,38000.000000,38300.000000,33197.617188,1229800
2017-06-27,38100.000000,38460.000000,38100.000000,38420.000000,33301.621094,1399800
2017-06-28,38020.000000,38240.000000,37240.000000,37620.000000,32608.199219,2059500
2017-06-29,37940.000000,38100.000000,37920.000000,38000.000000,33060.609375,1336650
2017-06-30,37660.000000,37660.000000,37200.000000,37240.000000,32399.406250,2198800
2017-07-03,37340.000000,37640.000000,36820.000000,37400.000000,32538.599609,1579000
2017-07-04,37320.000000,37600.000000,36840.000000,36980.000000,32173.199219,772800
2017-07-05,36840.000000,37340.000000,36580.000000,37320.000000,32469.007813,1283950
2017-07-06,37700.000000,37900.000000,37440.000000,37900.000000,32973.605469,923650
2017-07-07,37740.000000,37920.000000,37460.000000,37640.000000,32747.400391,1254450
2017-07-10,37840.000000,38400.000000,37740.000000,38360.000000,33373.816406,1374650
2017-07-11,38480.000000,38580.000000,38300.000000,38580.000000,33565.222656,1078550
2017-07-12,38880.000000,38940.000000,38700.000000,38840.000000,33791.421875,1522200
2017-07-13,38920.000000,40000.000000,38920.000000,39740.000000,34574.441406,2508250
2017-07-14,40000.000000,40280.000000,39400.000000,39580.000000,34435.246094,2483450
2017-07-17,39960.000000,40400.000000,39860.000000,40400.000000,35148.652344,1933450
2017-07-18,40300.000000,40300.000000,39900.000000,40020.000000,34818.046875,1801250
2017-07-19,39800.000000,40120.000000,39400.000000,40100.000000,34887.648438,2258850
2017-07-20,40200.000000,40500.000000,39880.000000,40420.000000,35166.050781,1764200
2017-07-21,40480.000000,41120.000000,40220.000000,41120.000000,35775.062500,2846100
2017-07-24,40700.000000,41000.000000,40460.000000,40760.000000,35461.859375,1612300
2017-07-25,40340.000000,40560.000000,40000.000000,40060.000000,34852.847656,1542300
2017-07-26,39800.000000,39820.000000,39200.000000,39560.000000,34417.839844,2161550
2017-07-27,39700.000000,40180.000000,39380.000000,39880.000000,34696.246094,1473700
2017-07-28,39860.000000,39860.000000,38000.000000,38400.000000,33408.621094,4235600
2017-07-31,38220.000000,38800.000000,37360.000000,38620.000000,33600.027344,1876400
2017-08-01,38600.000000,38900.000000,38320.000000,38440.000000,33443.421875,2222250
2017-08-02,38500.000000,39180.000000,38480.000000,39180.000000,34087.230469,1394350
2017-08-03,39180.000000,39200.000000,37260.000000,37540.000000,32660.408203,3633250
2017-08-04,38340.000000,38380.000000,37540.000000,37580.000000,32695.205078,1501800
2017-08-07,37620.000000,38040.000000,37580.000000,37880.000000,32956.210938,602650
2017-08-08,38300.000000,38560.000000,38120.000000,38400.000000,33408.621094,1585500
2017-08-09,38380.000000,38380.000000,37000.000000,37420.000000,32556.007813,2423650
2017-08-10,37420.000000,37420.000000,36500.000000,37080.000000,32260.197266,1951400
